"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"3524",4268,"NCT00356889",499594,0.4,22,55,NA,NA,"Bevacizumab and Erlotinib Hydrochloride","Patients receive bevacizumab IV over 30-90 minutes on days 1 and 15 and oral erlotinib hydrochloride daily on days 1-28. Courses repeat every 28 days in the absence of unacceptable toxicity or disease progression. Tumor tissue and blood specimens are collected periodically for correlative studies. Specimens are examined by immunohistochemistry for epidermal growth factor receptor (EGFR) and P-EGFR protein levels; AKT p-AKT, mitogen-activated protein kinase (MAPK) and P-MAPK protein levels; and vascular endothelial growth factor receptor (VEGFR)-1 and VEGFR-2 protein levels. EGFR mutations are detected by laser capture microdissection. Enzyme-linked immunosorbent assay is used to measure total and free serum VEGF levels."
"3530",4278,"NCT01133665",219228,0.4,16,40,NA,NA,"Cetuximab and Lenalidomide","Patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) were treated wıth cetuximab (500 mg/m2 IV every 2 weeks) and lenalidomide (25 mg orally or via feeding tube once daily)"
"3534",4282,"NCT01738438",72057,0.4,14,35,"Assessed each cycle throughout treatment from time of first dose and up to day 30 post-treatment. Treatment duration in cycles was a median (range) of 3 (1-17).","Maximum grade toxicity by type for a patient over time including only events with possible, probable or definite attribution was first calculated. Patients appear once for a given toxicity type. Serious and Other AEs were defined as events of grades 3-5 and grades1-2, respectively, based on CTCAEv3. 'Other’ events have no further specification.","Cabozantinib","Cabozantinib was given at a dose of 60 mg orally once per day for 21 day cycles. Treatment continued in the absence of disease progression or unacceptable toxicity."
"3539",4288,"NCT00457743",461507,0.4,12,30,NA,NA,"SU-011248 50-mg","Subjects received sunitinib malate (SU-011248) at starting dose of 50-mg once daily. Treatment cycles were 6 weeks in duration, consisting of 4 weeks daily SU-011248 administration followed by 2 weeks off treatment.
Phase 1: If Dose Limiting Toxicity (DLT) was observed, the patients were withdrawn from the study treatment. Neither temporary discontinuation nor reduction was permitted.
Phase 2: Treatment cycles were repeated until a study treatment withdrawal criterion was met. If drug-related adverse event (grade>=3) was observed, temporary discontinuation or dose reduction were taken according to the criteria.
From Phase 1 part of this study, 50-mg was determined as the maximum tolerated dose and the recommended dose."
"3544",4293,"NCT00113373",557749,0.4,10,25,"All Adverse Events (AEs) occurring during treatment and up to 30 days after stopping the study treatment are reported. Also reported are Serious Adverse Events (SAEs) considered to be treatment related for up to 5 years after stopping study treatment",NA,"Lapatinib","1500 mg of lapatinib orally every day (cycle = 28 days) until disease progression or adverse effects prohibit further therapy"
"3552",4301,"NCT01004159",260155,0.4,8,20,NA,NA,"Cetuximab With Irinotecan","cetuximab with irinotecan: Cetuximab administered 500mg/m2 over 120 minutes Irinotecan administered Q 3 weeks, Q 2 weeks or Q week x 4 every 6 weeks depending on patients previous treatment"
"3553",4302,"NCT00965731",274308,0.4,8,20,"Up to 28 days after the last dose of study treatment (up to approximately 20 months)","The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","PF-02341066 (150 mg) and Erlotinib (100 mg)","PF-02341066 150 mg administered orally BID in combination with erlotinib 100 mg administered orally QD in a continuous schedule for 28 days (Cycle 1) and then in continuous 21-day cycles. Prior to combination treatment, participants completed a 7 to 14 day lead-in period where they received erlotinib 100 mg administered orally QD."
"3562",4312,"NCT00126568",553895,0.4,8,20,"Adverse events were collected weekly for the duration that the patients started on treatment to end of study.",NA,"BAY 43-9006","BAY 43-9006 (sorafenib) will be administered on a fixed daily oral dosing schedule of 400 mg twice daily. A cycle of therapy will be considered 28 days (4 weeks / 1 month)."
"3571",4322,"NCT01099358",230305,0.4,6,15,NA,"All participants who received at least one dose of study drug.","Cetuximab and Cisplatin (D)","Cetuximab and Cisplatin (D)
Cycle 1 (1 week, combination therapy):
400 milligrams per square meter (mg/m²) cetuximab administered (admin) intravenously (I.V) on week 1, day 1.
100 mg/m² cisplatin administered I.V on week 1, day 1. Optional 5- fluorouracil (FU) administered as a 96-hour continuous infusion (C.I.) of 1000 mg/m²/day (d) administered starting on week 1, day 1.
After 1 cycle, participants may continue treatment as determined by the physician until progression of disease, unacceptable toxicity, or another withdrawal criterion is met.
After protocol amendment February 2014, any newly enrolled participants will be placed into cetuximab and cisplatin (D) arm only."
"3584",4338,"NCT01502410",118568,0.4,4,10,NA,"SAE field contains NCI Common Terminology Criteria for Adverse Events (CTCAEs) submitted via expedited reporting (NCI AdEERs / CAeRs). The AE field contains grade 3 and higher CTCAEs reported on study excluding those that were reported as SAEs. Only Grade 3 and higher Adverse Events were collected/assessed in this study.","Group 1 Relapsed/Refractory Rhabdomyosarcoma","Patients with relapsed or refractory rhabdomyosarcoma receive sorafenib tosylate PO BID on days 1-28. Treatment repeats every 28 days for up to 24 courses in the absence of disease progression or unacceptable toxicity."
"3589",4346,"NCT01028222",252249,0.4,4,10,NA,NA,"Crossover Nilotinib Treatment","Crossover nilotinib treatment"
"3597",4354,"NCT00614393",402950,0.4,4,10,"Up to 30 days after last dose of study drug (Up to 33 months)","The APaT population consisted of all randomized participants who received ≥1 dose of study drug. Participants were included in the treatment group corresponding to the study drug they actually received.","Dalotuzumab 10 mg/kg Q1W (OL)","In the OL portion of the study, ≥6 participants received cetuximab 400 mg/m^2 Q1W+ irinotecan Q1W at their pre-study dosage + OL dalotuzumab 10 mg/kg IV Q1W to verify the safety of the regimen. In DB Week 1, participants received cetuximab 400 mg/m^2 IV + irinotecan IV at their pre-study dosage. Starting with DB Week 2, participants received cetuximab 250 mg/m^2 IV Q1W + irinotecan IV Q1W + DB dalotuzumab 10 mg/kg IV Q1W for up to 32 months of treatment."
"3600",4359,"NCT00451048",463684,0.4,4,10,NA,NA,"Arm I","Patients will receive sunitinib by mouth once a day. Treatment may continue for as long as benefit is shown.
sunitinib malate: Given orally"
"3608",4368,"NCT02013765",34610,0.4,2,5,"Adverse events (AEs) and serious adverse events (SAEs) were recorded from study start to 30 days after the last dose of study drug.","All enrolled participants were included in the safety analysis.","Trastuzumab Monotherapy","Participants received an initial dose of trastuzumab 4 mg/kg, IV, on Day 1, followed by weekly doses of 2 mg/kg, IV, beginning on Day 8 until tumor progression, unacceptable toxicity, participant withdrawal, or termination by sponsor."
"3618",4380,"NCT01491633",120886,0.4,2,5,NA,NA,"Dasatinib","Dasatinib 140 mg by mouth each day
Dasatinib: 140 mg orally, daily in 28 day cycles"
"3639",4408,"NCT00864032",307230,0.4,2,5,NA,NA,"Sorafenib 200/400","Dose level 2. Sorafenib 200 mg PO Q AM and 400 mg PO Q PM"
"3643",4413,"NCT00787852",337046,0.4,2,5,"Baseline then approximately 30 days post the last dose of drug, which could be up to 2.5 years.",NA,"Group 1","DAY Radiation 1-5 8-12 15-19 22-26 29-33 36-40 43-47 Paclitaxel 1 8 15 22 29 36 43 Carboplatin 1 8 15 22 29 36 43 Dasatinib ----------------------------------------------------------------------Maintenance Dasatinib RT: External radiotherapy, 64.8 Gy, for 35 fx Paclitaxel: 50 mg/m2/week over 1 hour IV infusion days 1, 8, 15, 22, 29, 36, 43 Carboplatin: AUC = 2 IV infusion days 1, 8, 15, 22, 29, 36, 43 Dasatinib Dose Level With chemoradiation Maintenance x 2 years* Dasatinib is to be taken 1x daily 50 mg daily"
"3645",4415,"NCT00716456",365148,0.4,2,5,NA,NA,"Cetuximab 375 mg/m2","Cetuximab 375 mg/m2 IV every two weeks"
"3654",4425,"NCT00509899",443526,0.4,2,5,NA,NA,"50 mg Bid","Participants received an initial dose of Ruxolitinib 50 mg twice a day (bid). Participants could continue in the study on their prescribed regimen indefinitely if receiving benefit with dose adjustments for safety and efficacy."
"3655",4426,"NCT00474929",454805,0.4,2,5,"The adverse events reported here occurred during treatment. The maximum treatment length was 27, 28-day cycles.","Adverse events were collected at the end of each cycle.","Phase I, Dose Level 2","Phase I: Dose level 2: Sorafenib 400 mg twice daily, RAD001 5mg every day"
"3666",4438,"NCT00121719",555440,0.4,2,5,"All adverse events (AEs) were collected for up to approximately 4 years.","Treatment-emergent adverse events were defined as AEs that emerged during treatment, having been absent at pre-treatment, or that worsened in severity relative to the pre-treatment state, or occurred within 7 days or 5 times the half-life (whichever was longer) post participant's last treatment. Only treatment-emergent AEs and SAEs were reported.","25 mg Lenvatinib Fed/Fasted","Participants from the MTD Cohort who chose to participate in the food-effect pilot study were randomly assigned to this Cohort. Two 10 mg lenvatinib tablets and five 1.0 mg lenvatinib tablets were taken orally, once daily. The Day 15 dose of lenvatinib was taken in a fed state with a high fat meal and the Day 22 dose was taken in a fasted state. All other doses were taken on an empty stomach after waking, followed by fasting for 2 hours with only clear liquids allowed."
"3671",4443,"NCT00064350",571757,0.399399399,133,333,"Assessed every 4 weeks while on treatment and for 28 days after the end of treatment",NA,"Induction: Sorafenib","All patients who received induction treatment (333 patients), regardless of eligibility status, were included in the toxicity analysis."
"3677",4453,"NCT00753714",352087,0.396825397,25,63,NA,NA,"Placebo to Match ZD6474 (Gemcitabine), Vandetanib","Gemcitabine administered intravenously at 1200 mg/m2 over 30 minutes on Days 1 and 8 of each 21-day cycle up to plus Vandetanib 100 mg Matching Placebo orally once-daily, from Day 1. . Patients will receive gemcitabine for up to a maximum of 6 cycles, after which period patients should continue on daily oral dosing with placebo alone until progression. Once a patient has met the study criteria for disease progression on vandetanib/gemcitabine or placebo/gemcitabine, randomised treatment must be permanently discontinued"
